Smiles,lable
COc1ccc(S(=O)(=O)N2CC(C(=O)NCCCn3ccnc3)c3ccccc32)c2ccccc12,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)c(C)c1C,1
COc1cc(C)c(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)c(C)c1C,1
CC(C)N1CCCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1,1
CCN1CCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(Br)c3)c3cccnc32)C1,1
CN1CCCC(n2cc(S(=O)(=O)c3ccc(Cl)cc3)c3cccnc32)C1,1
O=S(=O)(c1ccccc1F)c1cn(C2CCNC2)c2ncccc12,1
CNc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
CNc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCC3,1
CNc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCCC3,1
Cc1nc2c(S(=O)(=O)c3ccccc3)c(N(C)C)nn2c2c1CCC2,1
CN(C)c1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
Cl.O=S(=O)(c1cccc(Cl)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21,1
Cl.O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21,1
COc1ccc(NS(=O)(=O)c2ccc(I)cc2)cc1N1CCN(C)CC1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(Cl)c3)c3ccccc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc4ccccc34)c3ccccc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3cc(F)ccc32)C1,1
CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCCC3,1
CNCCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,1
CN(C)CCn1cc(S(=O)(=O)c2cc(Cl)ccc2Cl)c2cccnc21,1
O=C(Nc1ccc2cnn(S(=O)(=O)c3cccc4ccccc34)c2c1)C1CCNCC1,1
N[C@@H]1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)C1,1
CN(C)[C@H]1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)C1,1
CC(C)Cn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCN(C)CC3)ccc21,1
Cn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21,1
CN1CCN(c2ccc3c(c2)c(S(=O)(=O)c2cccc4ccccc24)nn3C)CC1,1
CCn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21,1
CCCn1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21,1
CC(C)n1nc(S(=O)(=O)c2cccc3ccccc23)c2cc(N3CCNCC3)ccc21,1
CCn1nc(S(=O)(=O)c2ccccc2)c2cc(N3CCNCC3)ccc21,1
CN1CCN(c2ccc3[nH]nc(S(=O)(=O)c4cccc5ccccc45)c3c2)CC1,1
CN1CCN(c2cccc3c(S(=O)(=O)c4cccc5ccccc45)n[nH]c23)CC1,1
O=S(=O)(c1cccc(F)c1)c1ccc2c3c(oc2c1)C1(CCOCC1)NCC3,1
CC1(C)NCCc2c1oc1cc(S(=O)(=O)c3cccc(F)c3)ccc21,1
COc1cccc(S(=O)(=O)c2ccc3c4c(oc3c2)CNCC4)c1,1
O=S(=O)(c1cccc(Cl)c1Cl)N1CCc2c(cccc2N2CCNCC2)C1,1
CNC[C@@H]1COc2ccc(S(=O)(=O)c3ccccc3)cc2O1,1
O=S(=O)(c1cc2cccc(N3CCNCC3)c2[nH]1)c1cccc(Cl)c1Cl,1
O=C1COc2c(N3CCNCC3)cccc2N1Cc1ccccc1,1
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,1
O=c1[nH]c2c(N3CCNCC3)cccc2n1Cc1ccccc1,1
O=S(=O)(c1ccccc1)c1ccc2c(c1)OCCC2N1CCNCC1,1
Cc1nc2c(N3CCNCC3)cccc2n1S(=O)(=O)c1ccccc1,1
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCC[C@H]2C1,1
COc1cc(Cn2c(=O)ccc3cccc(OC)c32)cc(N2CCNCC2)c1,1
Nc1ccc(S(=O)(=O)c2cc(Br)nc(N3CCCC3)c2)cc1,1
O=S(=O)(Nc1ccc2c(c1)C(C1CCNCC1)=CCO2)c1ccccc1,1
COc1cc(N2CCNCC2)c2ncc(C)c(Oc3ccccc3)c2c1,1
CSc1nn2c(N3CCNCC3)nc(C)nc2c1S(=O)(=O)c1ccccc1,1
CN(C)CCc1cn(S(=O)(=O)c2ccccc2)c2sccc12,1
Cc1c(S(=O)(=O)Nc2cc3c(c(N4CCN(C)CC4)c2)OCC3)sc2ccc(Cl)cc12,1
COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(OC)c2c1CC[C@H](N(C)C)C2,1
NCCOc1cccc2c1c1cccc3c1n2[C@H](c1ccccc1)CO3,1
O=S(=O)(c1ccccc1)c1ccc(C2CCNCC2)c2ccccc12,1
O=c1n(C2=CCNCC2)c2ccccc2n1S(=O)(=O)c1ccc2ccccc2c1,1
OCCCNC[C@H]1CCc2ccc(OCc3ccccc3)cc2O1,1
Fc1ccc2c(c1)c(C1=CCNCC1)cn2Cc1ccccc1,1
Clc1ccc(-c2[nH]c3ccccc3c2/C=N/NC2=NCCN2)cc1,1
Cc1cc(C)cc(S(=O)(=O)c2ccc3ccnc(N4CCNCC4)c3c2)c1,1
CC(Nc1ccc2c(c1)CCNCC2)c1ccccc1Cl,1
CN(C)CCn1ccc2ccc(NS(=O)(=O)c3cccc4ccccc34)cc21,1
O=S(=O)(c1cccc(F)c1)c1c[nH]c2c(OCCN3CCCC3)cccc12,1
Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,1
CNc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CNCC3,1
CNc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCNC3,1
CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CN(C)CC3,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1cccc(Cl)c1,1
CNc1nn2c(C)ccnc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(COC)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(CO)cc(C)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)cc1,1
CNc1nn2c(C)cc(CO)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1cccc(F)c1,1
CSc1nn2c(CO)cc(C)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1cccc(Cl)c1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1cccc(F)c1,1
CNc1nn2ccc(C)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(O)cc1,1
CSc1nn2c(C)cc(CO)nc2c1S(=O)(=O)c1ccccc1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(Cl)cc1,1
COCc1cc(C)n2nc(SC)c(S(=O)(=O)c3ccccc3)c2n1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1,1
CNc1nn2cccnc2c1S(=O)(=O)c1ccccc1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(O)cc1,1
CSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(F)cc1,1
CNc1nn2c(COC)cc(C)nc2c1S(=O)(=O)c1ccccc1,1
CSc1nn2ccc(C)nc2c1S(=O)(=O)c1ccc(F)c(Cl)c1,1
CNc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(OC)cc1,1
CNc1nn2cccnc2c1S(=O)(=O)c1ccc(F)cc1,1
CSc1nn2cccnc2c1S(=O)(=O)c1cccc(Cl)c1,1
CSc1nn2c(C)ccnc2c1S(=O)(=O)c1ccccc1,1
Cc1cc(C)n2nc(N(C)C)c(S(=O)(=O)c3ccccc3)c2n1,1
CN1CCc2[nH]c3ccc(S(=O)(=O)Nc4cccc(F)c4)cc3c2C1.Cl,1
CNc1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1.Cl,1
Cl.Nc1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1,1
CC(=O)Nc1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1.Cl,1
CNc1ccccc1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)c(CC(=O)N(C)C)c(C)nc2c1S(=O)(=O)c1ccccc1,1
CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CNCC3,1
CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1cccc(Cl)c1)CNCC3,1
CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCCC3,1
COc1cc(-c2cccnc2)nc2c(S(=O)(=O)c3ccccc3)c(SC)nn12,1
CNc1nn2c(C)c(N)c(C)nc2c1S(=O)(=O)c1ccccc1,1
CNc1nn2c(C)cc(CN)nc2c1S(=O)(=O)c1ccc(F)cc1,1
CNc1nn2cccnc2c1S(=O)(=O)c1cccc(Cl)c1,1
CNc1nn2c(C)c(CN(C)C)c(C)nc2c1S(=O)(=O)c1ccccc1,1
CCSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccccc1,1
CCSc1nn2c(C)cc(C)nc2c1S(=O)(=O)c1ccc(C)cc1,1
CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc(-c4ccccc4)cc3)cc12,1
CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3cccc4ccccc34)cc12,1
Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3c2)sc2ccc(Cl)cc12,1
CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12,1
CCN(CC)CCc1c[nH]c2ccc(NS(=O)(=O)c3cccc4c(Cl)cccc34)cc12,1
CCCN(CCC)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12,1
O=S(=O)(Nc1ccc2[nH]cc(CCN3CCCC3)c2c1)c1cccc2ccccc12,1
CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4cccc5ccccc45)cc23)CC1,1
Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(CN(C)C)c3c2)sc2ccc(Cl)cc12,1
CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4ccc(-c5ccccc5)cc4)cc23)CC1,1
CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4cccc5c(Cl)cccc45)cc23)CC1,1
Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(CCN4CCOCC4)c3c2)sc2ccc(Cl)cc12,1
O=S(=O)(Nc1ccc2ccn(CCN3CCCC3)c2c1)c1cccc2ccccc12,1
CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4cccc5cccnc45)cc23)CC1,1
CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4ccc(Cl)s4)cc23)CC1,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3Cl)cc12,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(Cl)c(Cl)c3)cc12,1
Cc1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4C)c3c2)cc1,1
CC(C)c1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4)c3c2)cc1,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc12,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc12,1
CN1CCC[C@@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc12,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(I)cc1,1
CC(C)c1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4C)c3c2)cc1,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1cccc(Cl)c1,1
CC(C)c1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@@H]4CCCN4C)c3c2)cc1,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(Cl)cc1,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(Cl)c(Cl)c1,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(Br)cc1,1
O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(F)cc1,1
Cc1ccc(S(=O)(=O)Nc2ccc3[nH]cc(C[C@H]4CCCN4)c3c2)cc1,1
